room_type,person_capacity,bedrooms,lng,lat,City,realSum,metro_dist,attr_index_norm,rest_index_norm,host_is_superhost,biz,cleanliness_rating,guest_satisfaction_overall,dist,Crime Index,Safety Index,geo_id,lng_lat_count,dup_rank_within_pair
Entire home/apt,2.0,1,12.528,41.889,rome,184.4621607088584,0.0622483159918051,4.976858931232432,14.304744138384567,True,0,10.0,98.0,2.5114972414501486,53.11,46.89,12.528_41.889,2,1
Entire home/apt,2.0,1,12.528,41.889,rome,113.15549528908424,0.0622607412076992,4.976323661133369,14.309614197750264,True,0,10.0,99.0,2.511497014343095,53.11,46.89,12.528_41.889,2,2
Entire home/apt,4.0,1,12.534,41.892,rome,203.86692539686248,0.6233441866020579,4.483284602667725,12.392076487782305,True,0,10.0,98.0,2.81359284860607,53.11,46.89,12.534_41.892,2,1
Entire home/apt,5.0,2,12.534,41.892,rome,208.8934608280925,0.6233517476433672,4.483284478364184,12.3921172061321,True,0,10.0,97.0,2.813565748817015,53.11,46.89,12.534_41.892,2,2
Entire home/apt,4.0,1,12.535,41.909,rome,152.19881701073106,0.5034752674527878,4.234485851347756,11.64152758336274,False,0,8.0,86.0,2.864076615987051,53.11,46.89,12.535_41.909,2,1
Entire home/apt,4.0,2,12.535,41.909,rome,230.51925279966332,0.5034452805730608,4.234497458310869,11.641504881563971,False,0,10.0,100.0,2.8640536480726695,53.11,46.89,12.535_41.909,2,2
Private room,2.0,1,12.536,41.908,rome,124.4944240525565,0.6280198626207665,4.215246071565674,11.897458561771806,False,1,9.0,89.0,2.910812640196441,53.11,46.89,12.536_41.908,2,1
Private room,2.0,1,12.536,41.908,rome,126.83234750894256,0.6280157085493329,4.215252981782158,11.897438002458108,True,0,10.0,96.0,2.9107960929976446,53.11,46.89,12.536_41.908,2,2
Private room,2.0,1,12.556,41.946000000000005,rome,118.06513454749488,2.370701930124417,2.3154447756724377,6.62899279570632,True,0,10.0,95.0,6.709524349499269,53.11,46.89,12.556_41.946000000000005,2,1
Private room,3.0,1,12.556,41.946000000000005,rome,126.71545133612324,2.3707048604696603,2.315447331167942,6.629006970345044,True,0,10.0,99.0,6.709517609869814,53.11,46.89,12.556_41.946000000000005,2,2
Private room,2.0,1,13.352,52.497,berlin,231.6069926147518,0.273039775576412,20.3158430815135,44.54148110774736,True,1,10.0,99.0,5.276771913636186,42.24,57.76,13.352_52.497,2,1
Private room,3.0,1,13.352,52.497,berlin,271.8051790221557,0.2730448107363326,20.31253356965749,45.114924306709966,True,1,10.0,99.0,5.276801530333392,42.24,57.76,13.352_52.497,2,2
Private room,2.0,1,13.361,52.494,berlin,276.98575924714095,0.3863177809923579,20.442381805176097,35.630897428461466,False,1,10.0,100.0,4.993855001613683,42.24,57.76,13.361_52.494,2,1
Private room,4.0,1,13.361,52.494,berlin,433.1822006169954,0.3863224362491136,20.4423933717508,35.63091613290687,False,1,10.0,90.0,4.993840242926473,42.24,57.76,13.361_52.494,2,2
Entire home/apt,6.0,2,13.365,52.501000000000005,berlin,823.2448350004674,0.2353910442701153,27.58864511578486,41.43221761450448,True,0,10.0,95.0,4.297712221377252,42.24,57.76,13.365_52.501000000000005,2,1
Private room,4.0,1,13.365,52.501000000000005,berlin,368.7949892493222,0.2353989597241914,27.58878411657254,41.43249376205411,True,0,10.0,93.0,4.297696377388108,42.24,57.76,13.365_52.501000000000005,2,2
Private room,2.0,1,13.37,52.503,berlin,287.23006450406655,0.3535492163832741,33.143213246992254,42.145825949097,False,1,10.0,90.0,3.892182402258373,42.24,57.76,13.37_52.503,2,1
Private room,4.0,1,13.37,52.503,berlin,420.9124053472936,0.3535439991642959,33.14327234953056,42.14584416164095,False,1,10.0,90.0,3.892165434308626,42.24,57.76,13.37_52.503,2,2
Private room,2.0,0,13.38,52.49,berlin,150.86005422080956,0.6335545435712036,19.865491552304405,33.59635233255197,False,1,10.0,95.0,4.470586419718329,42.24,57.76,13.38_52.49,2,1
Shared room,4.0,1,13.38,52.49,berlin,148.2892399738244,0.6335625489448481,19.865547274026618,33.59613773494371,False,1,9.0,88.0,4.470549885406714,42.24,57.76,13.38_52.49,2,2
Private room,2.0,1,13.39,52.526,berlin,302.59652238945495,0.1948721022674447,43.304492710323515,82.55071111334102,False,0,10.0,98.0,1.8247205044939243,42.24,57.76,13.39_52.526,2,1
Private room,4.0,1,13.39,52.526,berlin,582.6399925212677,0.1948497908860283,43.304396595134016,82.55519687833205,False,0,10.0,100.0,1.824735636445606,42.24,57.76,13.39_52.526,2,2
Entire home/apt,2.0,1,13.409,52.522,berlin,226.23165373469195,0.2110568697560162,50.846253947865165,86.68351304479799,False,1,9.0,92.0,0.5368110215319837,42.24,57.76,13.409_52.522,2,1
Entire home/apt,4.0,1,13.409,52.522,berlin,240.0205665139759,0.2110575001282986,50.83740171247242,87.79919776363229,False,1,8.0,83.0,0.5368058924670196,42.24,57.76,13.409_52.522,2,2
